Film,OscarYear,FilmStudio/Producer(s),Award,AwardBinary,YearofRelease,MovieTime,MovieGenre1,MovieGenre2,MovieGenre3,IMDBRating,IMDBVotes,MovieInfo,CriticConsensus,ContentRating,Directors,Authors,Actors,Actors2,Actors3,OriginalReleaseDate,StreamingReleaseDate,ProductionCompany,TomatometerStatus,TomatometerRating,TomatometerCount,AudienceStatus,AudienceRating,AudienceCount,TomatometerTopCriticsCount,TomatometerFreshCriticsCount,TomatometerRottenCriticsCount,FilmID
Midnight Express,1978,Alan Marshall and David Puttnam,Nominee,0,1978,121,Biography,Crime,Drama,7.6,76311,"Billy Hayes (Brad Davis) is a young American caught by Turkish police while attempting to smuggle hash out of Istanbul. He's tried and sent to prison for four years, where he endures all manner of privation and abuse. As he finishes up his time, he's shocked to learn that the Turkish High Court has added a further 30 years to his sentence. He is now thoroughly demoralized, and his life in prison grows increasingly unbearable until he concludes that escape is his only option.","Raw and unrelenting, Midnight Express is riveting in its realistic depiction of incarceration -- mining pathos from the simple act of enduring hardship.",R,Alan Parker,Oliver Stone,Brad Davis, Randy Quaid, John Hurt,28753,41015,Sony Pictures Home Entertainment,Fresh,96,26,Upright,89,31089,2,25,1,01c95862-5a79-4087-9ae7-6f179d49ecd6
Coming Home,1978,Jerome Hellman,Nominee,0,1978,127,Drama,Romance,War,7.3,13023,,,R,Hal Ashby,,Jane Fonda, Jon Voight, Bruce Dern,,,United Artists,,85,27,,83,5000,6,23,4,1354afbf-5844-458c-a3c6-21c3119083c6
An Unmarried Woman,1978,Paul Mazursky and Tony Ray,Nominee,0,1978,124,Comedy,Drama,Romance,7.2,5113,,,R,Paul Mazursky,,Jill Clayburgh, Alan Bates, Michael Murphy,,,20th Century Fox,,90,29,,73,1000,7,26,3,c5d97b57-e71f-40a9-a696-baaefe835b93
Heaven Can Wait,1978,Warren Beatty,Nominee,0,1978,101,Comedy,Fantasy,Romance,6.9,19822,"Joe Pendleton (Warren Beatty), quarterback for the Los Angeles Rams, is killed in an auto accident. In the afterlife, Joe discovers that his guardian angel (Buck Henry) has taken him from his body prematurely, and he is due many more years on earth. Unable to return to his body, Joe assumes the form of greedy multimillionaire industrialist Leo Farnsworth. As Farnsworth, Joe attempts a return to football and falls in love with environmental activist Betty Logan (Julie Christie).","A throwback to the high-gloss screwball comedies of the 1940s, Heaven Can Wait beguiles with seamless production values and great comic relief from Charles Grodin and Dianne Cannon.",PG,Warren Beatty,"Elaine May, Warren Beatty",Warren Beatty, Julie Christie, James Mason,28669,42736,Paramount Pictures,Certified-Fresh,88,41,Upright,68,13232,8,36,5,8f0dd2a2-3322-4372-af45-cf1940585d86
The Deer Hunter,1978,"Barry Spikings, Michael Deeley, Michael Cimino, and John Peverall",Winner,1,1978,183,Drama,War,NG,8.1,323543,"In 1968, Michael (Robert De Niro), Nick (Christopher Walken) and Steven (John Savage), lifelong friends from a working-class Pennsylvania steel town, prepare to ship out overseas following Steven's elaborate wedding and one final group hunting trip. In Vietnam, their dreams of military honor are quickly shattered by the inhumanities of war; even those who survive are haunted by the experience, as is Nick's hometown sweetheart, Linda (Meryl Streep).","Its greatness is blunted by its length and one-sided point of view, but the film's weaknesses are overpowered by Michael Cimino's sympathetic direction and a series of heartbreaking performances from Robert De Niro, Meryl Streep, and Christopher Walken.",R,Michael Cimino,"Deric Washburn, Louis Garfinkle, Quinn K. Redeker",Robert De Niro, Christopher Walken, John Cazale,28832,42706,Universal Pictures,Certified-Fresh,93,76,Upright,92,103489,17,71,5,dcfb372f-430d-4998-a7f2-f23a78863ed4
Norma Rae,1979,Tamara Asseyev and Alex Rose,Nominee,0,1979,114,Drama,NG,NG,7.3,11062,,,PG,Martin Ritt,,Sally Field, Ron Leibman, Beau Bridges,,,20th Century Fox,,90,30,,79,5000,7,27,3,42fd0a2b-55a7-4131-89a9-9de4d028d022
Breaking Away,1979,Peter Yates,Nominee,0,1979,101,Comedy,Drama,Romance,7.7,22594,"Dave (Dennis Christopher) and his working-class friends Cyril (Daniel Stern), Moocher (Jackie Earle Haley) and Mike (Dennis Quaid) spend their post-high school days in Bloomington, Indiana, sparring with snooty students from the local university, chasing girls and--in Dave's case--dreaming of competitive bicycle racing. The four friends face opposition from all corners as they decide to make Dave's dreams come true in the university's annual bicycle endurance race.","At once a touching, funny coming-of-age story and a compelling sports film, Breaking Away is a delightful treat.",PG,Peter Yates,Steve Tesich,Dennis Christopher, Barbara Barrie, Paul Dooley,29049,42333,20th Century Fox,Fresh,95,37,Upright,88,9343,6,35,2,73d83b0b-79ba-47da-b7f2-ef0c2f78860b
All That Jazz,1979,Robert Alan Aurthur,Nominee,0,1979,123,Drama,Music,Musical,7.9,29674,,,R,Bob Fosse,,Roy Schneirder, Jessica Lange, Ann Reinking,,,20th Century Fox,,87,45,,86,10000,11,39,6,fcf2c847-059b-4750-b7a2-f1d150fadc63
Kramer vs. Kramer,1979,Stanley R. Jaffe,Winner,1,1979,105,Drama,NG,NG,7.8,138582,"On the same day Manhattan advertising executive Ted Kramer (Dustin Hoffman) lands the biggest account of his career, he learns that his wife, Joanna (Meryl Streep), is leaving him and their young son, Billy (Justin Henry). Forced to raise his son alone, Ted loses his job but gains a stronger relationship with the child with the help of another single parent, Margaret (Jane Alexander). When Joanna returns to claim custody of Billy, the ensuing court battle takes a toll on everyone concerned.","The divorce subject isn't as shocking, but the film is still a thoughtful, well-acted drama that resists the urge to take sides or give easy answers.",PG,Robert Benton,Robert Benton,Dustin Hoffman, Meryl Streep, Justin Henry,29208,41015,Sony Pictures Home Entertainment,Certified-Fresh,88,52,Upright,89,43464,14,46,6,40ddb2ef-ead7-4129-9a4a-005bcb9385db
Apocalypse Now,1979,"Francis Ford Coppola, Fred Roos, Gray Frederickson, and Tom Sternberg",Nominee,0,1979,147,Drama,Mystery,War,8.4,627726,"In Vietnam in 1970, Captain Willard (Martin Sheen) takes a perilous and increasingly hallucinatory journey upriver to find and terminate Colonel Kurtz (Marlon Brando), a once-promising officer who has reportedly gone completely mad. In the company of a Navy patrol boat filled with street-smart kids, a surfing-obsessed Air Cavalry officer (Robert Duvall), and a crazed freelance photographer (Dennis Hopper), Willard travels further and further into the heart of darkness.","Francis Ford Coppola's haunting, hallucinatory Vietnam War epic is cinema at its most audacious and visionary.",R,Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr",Martin Sheen, Marlon Brando, Robert Duvall,28856,42327,United Artists,Certified-Fresh,98,95,Upright,94,286037,25,93,2,7d84dcde-add0-4d6e-a416-5f418b0ee4a5
Coal Miner's Daughter,1980,Bernard Schwartz,Nominee,0,1980,124,Biography,Drama,Music,7.5,17579,"Raised in rural Kentucky poverty and married at the age of 13, Loretta Lynn (Sissy Spacek) begins writing and singing her own country songs in her early 20s. With the tireless help of her husband Oliver ""Mooney"" Lynn (Tommy Lee Jones), Loretta rises from local honky-tonks and small-time record deals to national tours and hit singles, befriending her idol Patsy Cline (Beverly D'Angelo) and becoming a country music icon despite the toll stardom takes on her family and her marriage.","Like a classic traditional country song, Coal Miner's Daughter draws on time-tested formula -- and undeniable talent -- to tell a solidly affecting story.",PG,Michael Apted,"Tom Rickman, Thomas Rickman",Sissy Spacek, Tommy Lee Jones, Beverly D Angelo,29287,42258,MCA Universal Home Video,Fresh,86,22,Upright,86,36305,7,19,3,e30d2afc-0324-4610-8579-2dc703156dd3
Tess,1980,Claude Berri and Timothy Burrill,Nominee,0,1979,186,Drama,Romance,NG,7.3,15999,"In Roman Polanski's take on ""Tess of the D'Urbervilles,"" impressionable young Tess (Nastassja Kinski) is sent by her alcoholic father to visit her rich relatives and apply for a job. She's taken in and immediately seduced by her cousin, Alec (Leigh Lawson), who leaves her pregnant. She keeps it to herself and, after the child dies, begins a relationship with a respectable farmer, Angel (Peter Firth). They marry, but when Angel learns of her speckled past, he's not sure he can live with it.","A reverent adaptation of Thomas Hardy's novel, Tess marries painterly cinematography and unhurried pacing to create an epic ode to perseverance.",PG,Roman Polanski,"Gérard Brach, Roman Polanski, John Brownjohn",Nastassja Kinski, Leigh Lawson, Peter Firth,29129,42754,Criterion Collection,Fresh,81,26,Upright,78,6331,6,21,5,4e06a3f7-c35d-40a9-9a49-45738b7c505b
The Elephant Man,1980,Jonathan Sanger,Nominee,0,1980,124,Biography,Drama,NG,8.1,229693,"Dr. Frederic Treves (Anthony Hopkins) discovers Joseph (John) Merrick (John Hurt) in a sideshow. Born with a congenital disorder, Merrick uses his disfigurement to earn a living as the ""Elephant Man."" Treves brings Merrick into his home, discovering that his rough exterior hides a refined soul, and that Merrick can teach the stodgy British upper class of the time a lesson about dignity. Merrick becomes the toast of London and charms a caring actress (Anne Bancroft) before his death at 27.","David Lynch's relatively straight second feature finds an admirable synthesis of compassion and restraint in treating its subject, and features outstanding performances by John Hurt and Anthony Hopkins.",PG,David Lynch,"Eric Bergren, Christopher De Vore, David Lynch",John Hurt, Anthony Hopkins, Anne Bancroft,29497,41487,Paramount Pictures,Certified-Fresh,92,53,Upright,93,64544,10,49,4,0887d632-30bd-4e84-9d29-6bbfdd5984b8
Ordinary People,1980,Ronald L. Schwary,Winner,1,1980,124,Drama,NG,NG,7.7,49328,"Tormented by guilt following the death of his older brother, Buck, in a sailing accident, alienated teenager Conrad Jarrett (Timothy Hutton) attempts suicide. Returning home following an extended stay in a psychiatric hospital, Conrad tries to deal with his mental anguish and also reconnect with his mother, Beth (Mary Tyler Moore), who has grown cold and angry, and his emotionally wounded father, Calvin (Donald Sutherland), with the help of his psychiatrist, Dr. Berger (Judd Hirsch).","Though shot through with bitterness and sorrow, Robert Redford's directorial debut is absorbing and well-acted.",R,Robert Redford,Alvin Sargent,Mary Tyler Moore, Timothy Hutton, Donald Sutherland,29483,41487,Paramount Pictures,Certified-Fresh,89,54,Upright,88,23217,11,48,6,c7fdd5fc-4ab9-4195-8462-51c65f7cddd0
Raging Bull,1980,Irwin Winkler and Robert Chartoff,Nominee,0,1980,129,Biography,Drama,Sport,8.2,334550,The story of a middleweight boxer as he rises through ranks to earn his first shot at the middleweight crown. He falls in love with a gorgeous girl from the Bronx. The inability to express his feelings enters into the ring and eventually takes over his life. He eventually is sent into a downward spiral that costs him everything.,"Arguably Martin Scorsese's and Robert De Niro's finest film, Raging Bull is often painful to watch, but it's a searing, powerful work about an unsympathetic hero.",R,Martin Scorsese,"Paul Schrader, Mardik Martin, Martin Scorsese",Robert De Niro, Cathy Moriarty, Joe Pesci,29574,42699,United Artists,Certified-Fresh,93,74,Upright,93,131407,19,69,5,06fac879-3ee3-4c83-b676-16c49688b302
On Golden Pond,1981,Bruce Gilbert,Nominee,0,1981,109,Drama,NG,NG,7.6,29276,"Cantankerous retiree Norman Thayer (Henry Fonda) and his conciliatory wife, Ethel (Katharine Hepburn), spend summers at their New England vacation home on the shores of idyllic Golden Pond. This year, their adult daughter, Chelsea (Jane Fonda), visits with her new fiancée and his teenage son, Billy (Doug McKeon) on their way to Europe. After leaving Billy behind to bond with Norman, Chelsea returns, attempting to repair the long-strained relationship with her aging father before it's too late.","Henry Fonda and Katherine Hepburn are a wondrous duo in On Golden Pond, a wistful drama that movingly explores the twilight years of a loving marriage.",PG,Mark Rydell,Ernest Thompson,Henry Fonda, Katharine Hepburn, Jane Fonda,29924,42693,20th Century Fox,Fresh,93,29,Upright,87,20566,8,27,2,f8b74df8-6eda-4e06-80f3-1222e3caa4a3
Atlantic City,1981,Denis Héroux,Nominee,0,1980,104,Crime,Drama,Romance,7.3,16039,"When Sally Matthews (Susan Sarandon) leaves her Canadian home to relocate to Atlantic City, she aspires to a prosperous career in the gambling industry. With her criminal husband (Robert Joy) on her trail, however, it appears that she can't escape from trouble, until she finds an unlikely savior in Lou Pascal (Burt Lancaster), an aging small-time mobster. By becoming involved with Sally, Lou finds a way to achieve the success he's dreamed of, but his plan may endanger both their lives.","Bittersweet and reflective, Atlantic City is a modest romance given raw power by Burt Lancaster and Susan Sarandon's heartfelt performances along with director Louis Malle's eccentric eye for detail.",R,Louis Malle,John Guare,Burt Lancaster, Susan Sarandon, Kate Reid,29466,41487,Paramount Pictures,Fresh,100,33,Upright,77,5228,7,33,0,554cc033-c312-486f-82d5-f751453452de
Reds,1981,Warren Beatty,Nominee,0,1975,127,Horror,Mystery,Thriller,7.6,35213,,,PG,Warren Beatty,,Warren Beatty, Diane Keaton, Jack Nicholson,,,Paramount Pictures,,90,48,,82,5000,8,43,5,cb11d99b-5b54-4b7f-9526-45c7b96af6d7
Chariots of Fire,1981,David Puttnam,Winner,1,1981,125,Biography,Drama,Sport,7.2,57292,"In the class-obsessed and religiously divided United Kingdom of the early 1920s, two determined young runners train for the 1924 Paris Olympics. Eric Liddell (Ian Charleson), a devout Christian born to Scottish missionaries in China, sees running as part of his worship of God's glory and refuses to train or compete on the Sabbath. Harold Abrahams (Ben Cross) overcomes anti-Semitism and class bias, but neglects his beloved sweetheart Sybil (Alice Krige) in his single-minded quest.","Decidedly slower and less limber than the Olympic runners at the center of its story, the film nevertheless manages to make effectively stirring use of its spiritual and patriotic themes.",PG,Hugh Hudson,Colin Welland,Ben Cross, Ian Charleson, Nigel Havers,29854,42157,20th Century Fox,Certified-Fresh,82,73,Upright,80,37166,19,60,13,dd41a9d6-8ccd-493a-8208-c515dd3053c1
Raiders of the Lost Ark,1981,Frank Marshall,Nominee,0,1981,115,Action,Adventure,NG,8.4,914188,"Dr. Indiana Jones, a renowned archeologist and expert in the occult, is hired by the U.S. Government to find the ark of the covenant, which is believed to still hold the Ten Commandments. Unfortunately, Hitler's agents are also after the ark. Indy and his ex-flame Marion escape from various close scrapes in a quest that takes them from Nepal to Cairo.","Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.",PG,Steven Spielberg,Lawrence Kasdan,Harrison Ford, Karen Allen, Paul Freeman,29749,41667,Paramount Pictures,Certified-Fresh,95,80,Upright,96,826663,19,76,4,f70968f4-9afa-42d1-b73f-7bc1cbdbc218
